"full_name","e","a","i","om","w","ma","per_y"
"  1566 Icarus (1949 MA)",0.8270,1.078,22.80,87.95,31.43,160.86,1.12
"  1620 Geographos (1951 RA)",0.3356,1.246,13.34,337.15,277.01,289.36,1.39
"  1685 Toro (1948 OA)",0.4361,1.368,9.38,274.21,127.27,196.26,1.6
"  1862 Apollo (1932 HA)",0.5599,1.471,6.35,35.56,286.03,252.87,1.78
"  1863 Antinous (1948 EA)",0.6063,2.261,18.35,346.00,268.57,173.83,3.4
"  1864 Daedalus (1971 FA)",0.6143,1.461,22.21,6.61,325.66,34.28,1.77
"  1865 Cerberus (1971 UA)",0.4668,1.08,16.10,212.89,325.29,328.39,1.12
"  1866 Sisyphus (1972 XA)",0.5380,1.894,41.21,63.45,293.12,349.34,2.61
"  1981 Midas (1973 EA)",0.6505,1.776,39.82,356.80,267.84,258.81,2.37
"  2063 Bacchus (1977 HB)",0.3494,1.078,9.44,33.04,55.34,242.55,1.12
"  2101 Adonis (1936 CA)",0.7642,1.874,1.32,349.43,43.69,230.82,2.57
"  2102 Tantalus (1975 YA)",0.2993,1.29,64.00,94.35,61.52,78.27,1.47
"  2135 Aristaeus (1977 HA)",0.5030,1.6,23.07,191.11,290.97,202.31,2.02
"  2201 Oljato (1947 XC)",0.7107,2.179,2.52,74.87,98.37,334.42,3.22
"  2212 Hephaistos (1978 SB)",0.8361,2.166,11.31,27.01,210.05,184.81,3.19
"  2329 Orthos (1976 WA)",0.6533,2.41,24.46,169.28,146.05,325.99,3.74
"  3103 Eger (1982 BB)",0.3542,1.404,20.93,129.73,254.12,304.12,1.66
"  3200 Phaethon (1983 TB)",0.8898,1.271,22.31,265.10,322.31,248.98,1.43
"  3360 Syrinx (1981 VA)",0.7457,2.468,21.14,242.46,63.56,49.58,3.88
"  3361 Orpheus (1982 HR)",0.3229,1.21,2.66,188.68,302.34,24.54,1.33
"  3671 Dionysus (1984 KD)",0.5420,2.2,13.54,82.05,204.33,131.35,3.26
"  3752 Camillo (1985 PA)",0.3016,1.414,55.56,147.96,312.22,8.79,1.68
"  3757 Anagolay (1982 XB)",0.4459,1.834,3.87,74.93,17.24,293.70,2.48
"  3838 Epona (1986 WA)",0.7027,1.505,29.20,235.47,49.72,225.76,1.85
"  4015 Wilson-Harrington (1979 VA)",0.6312,2.626,2.80,266.73,95.52,181.75,4.25
"  4034 Vishnu (1986 PA)",0.4441,1.06,11.17,157.89,296.70,260.40,1.09
"  4179 Toutatis (1989 AC)",0.6248,2.543,0.45,125.36,277.88,339.68,4.06
"  4183 Cuno (1959 LM)",0.6361,1.981,6.67,294.35,237.02,175.91,2.79
"  4197 Morpheus (1982 TA)",0.7724,2.295,12.60,7.01,122.55,357.11,3.48
"  4257 Ubasti (1987 QA)",0.4683,1.647,40.72,169.15,278.94,160.95,2.11
"  4341 Poseidon (1987 KF)",0.6800,1.834,11.84,108.03,15.83,44.04,2.48
"  4450 Pan (1987 SY)",0.5866,1.443,5.52,311.70,291.94,192.17,1.73
"  4486 Mithra (1987 SB)",0.6620,2.205,3.04,82.18,169.12,156.61,3.28
